Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Sebagai petani, langsung saja ke menit 51:45",UgwN6dx5Vry0swHE9z94AaABAg,0,3
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Kayaknya seru kalau bpk Mahfud MD ketemu si rocky g..kapan yaaa.,",Ugw4Q8ZZaDCgNk6-sBp4AaABAg,1,4
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Ekonom senior Rizal Ramly GK laku,UgwlXSxQYQgEt1Ji0K94AaABAg,0,4
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Perlombaan Kabinet memuja JKW Vs Pandangan Rakyat Indonesia.,UgzmUfi4qA4fsjLQlXB4AaABAg,0,1
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Memang gk Mudah presiden mengurusi Rakyat Dan Negara
Tinggal Rakyat nya harus berfikiran Positif
Ya klalau bicara' sih Mudah 
Tapi praktek nya kaya Presiden kita ini.sangat berat 
Semoga presiden Jokowi sehat selalu Amin ya Robb",UgwdfF4jxHdhM3yQQhN4AaABAg,5,6
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,ILC SEKARANG SDH JAUH BEDA - SDH TAKUT TEKANAN - LEBIH BAGUS MATA NAJWA YG MASIH KONSISTEN BERANI,UgyOrfFgRBiNfkcTTZ14AaABAg,20,55
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"Bicaralah dgn kejujuran, di ILC  jgn takut Dapur tdk ngebul & jgn takut nganggur,    Wsslm.",Ugw6MGi_8pGmmJpStYx4AaABAg,0,3
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Malaikat masuk sistem indonesia auto jadi iblis ~mahfud md  😅💩💩,Ugyio8mg4lntfjKaBXd4AaABAg,8,18
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,Komen dulu sebelum nonton.. hahahah,UgweYU-UD4Hg_FZMuy54AaABAg,0,4
Indonesia Lawyers Club,[FULL] Setahun Jokowi-Ma&#39;ruf Amin: Dari Pandemi Sampai Demonstrasi | ILC tvOne (20/10/2020),"Jakarta, tvOnenews.com - Joko Widodo & Ma'ruf Amin telah memasuki setahun masa kepemimpinannya. Banyak catatan mewarnai berbagai peristiwa penting.",UxqLHmp_H9c,"tonton sampe habis ya, biar mengerti kelar. jgn skip mahfud md ya...tahu rasa loe
hahahaha",UgwlTpf49V0RQVAKntt4AaABAg,0,2
