Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Tonton juga Mata Najwa eps. [Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana] dan episode lainnya di https://www.narasi.tv atau klik link di bawah.
Part 1 - https://bit.ly/3jkqWHw
Part 2 - https://bit.ly/34iGaIP
Part 3 - https://bit.ly/3khYibm
Part 4 - https://bit.ly/3marzW0
Part 5 - https://bit.ly/37sCczb
Part 6 - https://bit.ly/3odWXob
Part 7 - https://bit.ly/2Tc7t15",Ugw-Pqliq6KjLrGI_VJ4AaABAg,211,307
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Trendingkaann gasssss,UgzEfYz7zg5X0Zln68N4AaABAg,0,125
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"""komunikasi publik yang baik""
Cuih..
Penjilat",UgxCCBGYb5Wxtb-bv154AaABAg,0,59
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Ah pusing liat debat, mending liat bebek",UgyZKxMTLn-I6gcFC_14AaABAg,9,90
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Gass trending,Ugyi1DA2Ir1ikTxZsjZ4AaABAg,0,19
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Roger : A MINUS  A UNTUK KEBOHONGAN MINUS UNTUK KEJUJURAN 🤣,UgwUPS6BaTd9AGIM4dl4AaABAg,4,196
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,A- 😊,Ugx2KpkRgG32n5tLZmB4AaABAg,0,42
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,The best lah rg....di stasiun TV manapun pasti komennya yg ditunggu 🔥 👍👏,UgzNZkIIgkxJUXtlpIR4AaABAg,0,16
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Keren keren keren, semoga trending 1 ,",UgzXLun2R-Ts0jqf9qV4AaABAg,0,34
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,9:37 Tertawa mbak nana bikin wapres jd ingat beliau yg terlupakan.... 😂😂😂😂,Ugy7c7tROYfG2NFHn3R4AaABAg,0,43
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Ada suara kucing ke injek kah mba Najwa di menit 4:33 :),Ugzj9JkKOJVel1wZTlx4AaABAg,64,418
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Masalahnya ekonomi indonesia udh resisi seblum pandemi bung... 🤣🤣🤣 Dan di 2019 udh diningatkan MARDIGU WOWIEK soal soal keputusan bernegara kalian... Sialnya terjadi 🤦,Ugz30WyR9fb7OOwvF0V4AaABAg,0,43
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Yang kecewa ke pemerintahan sekarang like yang puas komen 
Pengen tau nih banyak mana",Ugx5QkPtJE7OufjSFip4AaABAg,30,350
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"""Nilai A-, A untuk kebohongan, minus untuk kejujuran""
~Roger 
Keren kali bapak yang satu ini 👏",Ugx7Pzv4j0HPVSeWJBl4AaABAg,6,70
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,4:33 kucinggg oren nih pasti,UgyvO-G89TcOzNIwQ6d4AaABAg,1,27
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,No Rocky no Party,Ugw1Zx16d5BoKjcUGht4AaABAg,121,754
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Selalu rocky emang badass 😂👍,UgxKVKBvOudlnQ7gpwB4AaABAg,0,27
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Karna ada bung roky, diskusi jadi lebih berisi👍🏽",UgzST6r9U6OUuCPbCNt4AaABAg,0,10
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Trending yok mba nana,Ugxz7uyRN-EGH29-ybR4AaABAg,0,118
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,4:34 ada suara kucing lagi berantem??  Apa cuma kuping gw doang?  😂,UgykhK4yKuooKIw8h894AaABAg,1,28
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,Anjir duet sempurna nih rocky nana,UgyHmmvC7onzAAUWJ2x4AaABAg,0,10
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,"Kesini karna bung Rocky Gerung, kita sefrequensi 🔥",UgyMAVBqE-zGlfpkCut4AaABAg,0,10
Najwa Shihab,"Satu Tahun Jokowi-Ma&#39;ruf, Berapa Skornya? (Part 1) | Mata Najwa",Tahun Pertama: Jokowi-Ma'ruf Sampai di Mana (Part 1) Rocky Gerung menilai kepercayaan publik terhadap Presiden Jokowi menurun bahkan hilang.,9hqWUmyLULo,“ saya sama istri saja lupa” wkwkwkwwkwkwk gokil,UgxS6UOUK_Ay-32ocXN4AaABAg,0,16
